,Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(FTM),Value_OUT(FTM),CurrentValue @ $3.003/FTM,TxnFee(FTM),TxnFee(USD),Historical $Price/FTM,Status,ErrCode,Method,vlorandup,Relevant,Arguments used by tomb dev,Contract,Method,Our Arguments,Notes,
https://ftmscan.com/tx/0xeba6196b3f0353bb05dd0aec93bf7f74b9b567cb12d5f08f5b7ea730b8027a11,0xeba6196b3f0353bb05dd0aec93bf7f74b9b567cb12d5f08f5b7ea730b8027a11,8307725,1622415035,30-05-21 22:50,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x4cdf39285d7ca8eb3f090fda0c069ba5f4145b37,,0,0,0,0.00295845,0.008884225,0.29,,,Approve,#N/A,_,,,,,,
https://ftmscan.com/tx/0x78f2d9217dc05e0434add72e8cc54d8f09a75da1ec5a7cbc14e8870c7c24c515,0x78f2d9217dc05e0434add72e8cc54d8f09a75da1ec5a7cbc14e8870c7c24c515,8307757,1622415063,30-05-21 22:51,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xf491e7b69e4244ad4002bc14e878a34207e38c29,,0,0.2,0.6006,0.178480104,0.535975752,0.29,,,Add Liquidity ETH,#N/A,_,,,,,,
https://ftmscan.com/tx/0xaef8ae92bc18acc1c5d40685d450e7ebd5020e81ea15fdc07865bd31320ea400,0xaef8ae92bc18acc1c5d40685d450e7ebd5020e81ea15fdc07865bd31320ea400,8309978,1622416531,30-05-21 23:15,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b,,0,0,0,0.0404374,0.121433512,0.29,,,Add,https://ftmscan.com/tx/0xaef8ae92bc18acc1c5d40685d450e7ebd5020e81ea15fdc07865bd31320ea400,Yes,"alloc points (6000), WFTM address, _withUpdate = 1, _lastRewardTime = 1622637000*",TombGenRewardPool: ,Add,,,
https://ftmscan.com/tx/0x9175f037bc1afe08fb53038fcd0e36624d52f0de0cefb5b21459decfa7ab91ad,0x9175f037bc1afe08fb53038fcd0e36624d52f0de0cefb5b21459decfa7ab91ad,8309985,1622416536,30-05-21 23:15,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b,,0,0,0,0.0392492,0.117865348,0.29,,,Add,https://ftmscan.com/tx/0x9175f037bc1afe08fb53038fcd0e36624d52f0de0cefb5b21459decfa7ab91ad,Yes,"alloc points (2500), boo address, _withUpdate = 1, _lastRewardTime = 1622637000*",TombGenRewardPool: ,Add,,,
https://ftmscan.com/tx/0x7401434ed7b7975743eb9c45424c19d3288800f97a4ee459b09872c5eab33549,0x7401434ed7b7975743eb9c45424c19d3288800f97a4ee459b09872c5eab33549,8309992,1622416540,30-05-21 23:15,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b,,0,0,0,0.03941105,0.118351383,0.29,,,Add,https://ftmscan.com/tx/0x7401434ed7b7975743eb9c45424c19d3288800f97a4ee459b09872c5eab33549,Yes,"alloc points (1500), shiba address,  _withUpdate = 1, _lastRewardTime = 1622637000*",TombGenRewardPool: ,Add,,,
https://ftmscan.com/tx/0x573748f91a4fc2d2eb81321cd115c395fb9302e175950eebb97c39239b4ee781,0x573748f91a4fc2d2eb81321cd115c395fb9302e175950eebb97c39239b4ee781,8309996,1622416543,30-05-21 23:15,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b,,0,0,0,0.0395723,0.118835617,0.29,,,Add,https://ftmscan.com/tx/0x573748f91a4fc2d2eb81321cd115c395fb9302e175950eebb97c39239b4ee781,Yes,"alloc points (1000), zoo address, _withUpdate = 1, _lastRewardTime = 1622637000*",TombGenRewardPool: ,Add,,,
https://ftmscan.com/tx/0xb2b0439082525d53c4b5a521148a725336521549ec0f832d569f86d9b21ff9f8,0xb2b0439082525d53c4b5a521148a725336521549ec0f832d569f86d9b21ff9f8,8310066,1622416592,30-05-21 23:16,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xa7b16703470055881e7ee093e9b0bf537f29cd4d,,0,0,0,0.0404401,0.12144162,0.29,,,Add,https://ftmscan.com/tx/0xb2b0439082525d53c4b5a521148a725336521549ec0f832d569f86d9b21ff9f8,Yes,"alloc points (140000), tomb+wftm LP address,  withupdate = 1, _lastRewardTime = 1622723400**",TombFtmRewardPool,Add,,,
https://ftmscan.com/tx/0x2ad2a34f30474d5ea5e1359f201a15eeefc814429c4f1925032f9e12de2d10b1,0x2ad2a34f30474d5ea5e1359f201a15eeefc814429c4f1925032f9e12de2d10b1,8310139,1622416642,30-05-21 23:17,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xcc0a87f7e7c693042a9cc703661f5060c80acb43,,0,0,0,0.0404374,0.121433512,0.29,,,Add,https://ftmscan.com/tx/0x2ad2a34f30474d5ea5e1359f201a15eeefc814429c4f1925032f9e12de2d10b1,Yes,"alloc points (35500),  tomb+wftm LP address, withupdate = 1, lastreward = 1623069000***",TshareFtmLPTShareRewardPool: ,Add,,,
https://ftmscan.com/tx/0xd226614e3ad9f65352150e1454b0d3c64fb34a104f458955c2dc08a3a93e6d00,0xd226614e3ad9f65352150e1454b0d3c64fb34a104f458955c2dc08a3a93e6d00,8310144,1622416645,30-05-21 23:17,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xcc0a87f7e7c693042a9cc703661f5060c80acb43,,0,0,0,0.0392492,0.117865348,0.29,,,Add,https://ftmscan.com/tx/0xd226614e3ad9f65352150e1454b0d3c64fb34a104f458955c2dc08a3a93e6d00,Yes,"alloc points (24000), tshare+WFTM LP address, withupdate = 1, lastreward = 1623069000***",TshareFtmLPTShareRewardPool: ,Add,,,
https://ftmscan.com/tx/0xcd116118abc6c7cc823ee70c1582008f5f9cfe526710ba78c1662b8428fe77d3,0xcd116118abc6c7cc823ee70c1582008f5f9cfe526710ba78c1662b8428fe77d3,8310422,1622416832,30-05-21 23:20,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0x55530fa1b042582d5fa3c313a7e02d21af6b82f4,0,0,0,0.1070519,0.321476856,0.29,,,0x60806040,https://ftmscan.com/tx/0xcd116118abc6c7cc823ee70c1582008f5f9cfe526710ba78c1662b8428fe77d3,Yes,"tomb-wftm LP address, period (21600), starttime 1622637000*",SeigniorageOracle: ,Create Contract,,,
